time,ax,ay,az
54:31.1,0,0.02,-0.01
54:31.2,0.01,0.02,-0.01
54:31.3,0,0.01,0.05
54:31.4,-0.01,-0.01,0.05
54:31.5,0.01,-0.03,-0.01
54:31.6,0.02,-0.01,0.04
54:31.7,0,0,0.04
54:31.8,0.01,-0.01,0.06
54:31.9,-0.02,0.02,0.14
54:32.0,0.03,0.01,-0.07
54:32.1,0.01,-0.02,0.02
54:32.2,0.03,-0.05,-0.12
54:32.3,0,-0.02,0.02
54:32.4,0.01,0,0.02
54:32.5,-0.01,-0.01,-0.06
54:32.7,0,-0.02,0.02
54:32.8,0.02,-0.02,-0.01
54:32.9,0,-0.02,0.02
54:33.0,-0.01,-0.01,0.01
54:33.1,0.02,0,0.01
54:33.2,0,-0.01,0.02
54:33.3,0.01,0.01,-0.03
54:33.4,0.01,-0.01,0.01
54:33.5,0,0,0.02
54:33.6,0,0,-0.01
54:33.7,0,0,-0.01
54:33.8,0.02,0,-0.01
54:33.9,0.01,-0.01,0.03
54:34.0,0.01,-0.01,0
54:34.1,0.03,0,0.02
54:34.2,-0.01,-0.01,0.03
54:34.3,-0.01,0.01,-0.03
54:34.4,0.01,0,-0.01
54:34.5,0.02,0.01,0.03
54:34.6,0.01,0.02,0.01
54:34.7,0.02,0.02,0.02
54:34.8,0.01,0.01,0.05
54:34.9,0,0.02,0.02
54:35.0,0.01,0.02,-0.02
54:35.1,0.01,0.02,0.03
54:35.2,0.02,0.01,0.02
54:35.3,-0.01,0.02,-0.04
54:35.4,0.03,0.02,0.04
54:35.5,-0.02,0.03,0.03
54:35.6,0.01,0.04,-0.02
54:35.7,0.01,0.05,0
54:35.8,0.02,0.05,0.02
54:35.9,0.01,0.09,-0.01
54:36.0,0.01,0.07,0
54:36.1,0.01,0.09,0.06
54:36.2,0,0.08,-0.04
54:36.3,0.01,0.07,-0.01
54:36.4,0.01,0.09,0.03
54:36.5,0,0.1,-0.01
54:36.6,-0.01,0.1,0.02
54:36.7,0,0.12,0.01
54:36.8,-0.01,0.12,-0.03
54:36.9,-0.01,0.12,0.04
54:37.0,0.02,0.11,0.03
54:37.1,0.01,0.12,-0.02
54:37.2,0,0.12,0.02
54:37.3,0.01,0.12,0.01
54:37.4,-0.02,0.11,0
54:37.5,0.01,0.11,0.02
54:37.6,0,0.11,0
54:37.7,0,0.11,0
54:37.8,0,0.1,0.02
54:37.9,0.01,0.1,-0.01
54:38.0,0.01,0.1,0
54:38.1,0.02,0.1,0.02
54:38.2,0,0.1,0.01
54:38.3,0,0.09,0
54:38.4,0.02,0.09,0.01
54:38.5,0,0.09,0
54:38.6,-0.01,0.09,0
54:38.7,0,0.09,0
54:38.8,0,0.08,-0.01
54:38.9,0,0.09,-0.01
54:39.0,0,0.09,0
54:39.1,0,0.1,0.01
54:39.2,0.01,0.11,0
54:39.3,0.02,0.12,0.02
54:39.4,0.01,0.15,0
54:39.5,0,0.16,0.02
54:39.6,0,0.16,0.03
54:39.7,0,0.16,0.04
54:39.8,0.01,0.17,0
54:39.9,0,0.15,-0.01
54:40.0,0,0.16,0.01
54:40.1,0,0.15,0.04
54:40.2,0,0.15,0.01
54:40.3,0.01,0.14,0
54:40.4,0.01,0.13,0.01
54:40.5,0.02,0.12,0
54:40.6,-0.01,0.13,0.03
54:40.7,0.02,0.12,0.01
54:40.8,0,0.12,0
54:40.9,0.01,0.12,0
54:41.0,0,0.14,0.02
54:41.1,0.01,0.15,0
54:41.2,0,0.15,0
54:41.3,0,0.16,0.02
54:41.4,0.01,0.16,0.01
54:41.5,0.01,0.15,0
54:41.6,0.01,0.16,0
54:41.7,0,0.16,0.01
54:41.8,0,0.15,0.02
54:41.9,0.01,0.14,0.01
54:42.0,0.01,0.14,0.01
54:42.1,0.01,0.05,0
54:42.2,0,-0.02,-0.01
54:42.3,0.01,-0.03,0.01
54:42.4,0.01,-0.03,0.02
54:42.5,0.01,-0.03,0.02
54:42.6,0.01,-0.03,0.01
54:42.7,0.02,-0.04,0.01
54:42.8,0.02,-0.03,0
54:42.9,0.01,-0.03,0.01
54:43.0,0.01,-0.04,0.01
54:43.1,0.01,-0.04,0.01
